country,temp
Åland,16.22975
Afghanistan,26.533625
Africa,35.20875
Albania,24.993875000000003
Algeria,35.1215
American Samoa,37.517250000000004
Andorra,22.307875000000003
Angola,32.507875
Anguilla,37.363
Antigua And Barbuda,37.249625
Argentina,24.457124999999998
Armenia,21.34375
Aruba,38.54125
Asia,20.047375000000002
Australia,32.142875
Austria,18.055125
Azerbaijan,24.173875000000002
Bahamas,36.01166666666667
Bahrain,37.925375
Baker Island,36.431749999999994
Bangladesh,35.9675
Barbados,37.251125
Belarus,18.2665
Belgium,20.060125
Belize,36.21333333333333
Benin,38.160624999999996
Bhutan,23.331374999999998
Bolivia,30.640874999999998
"Bonaire, Saint Eustatius And Saba",37.919624999999996
Bosnia And Herzegovina,22.8795
Botswana,31.82575
Brazil,35.348124999999996
British Virgin Islands,37.31233333333333
Bulgaria,23.411875
Burkina Faso,39.3855
Burma,35.252875
Burundi,30.86275
Côte D'Ivoire,37.061125
Cambodia,38.259625
Cameroon,35.307625
Canada,8.359333333333332
Cape Verde,34.5305
Cayman Islands,37.55822222222223
Central African Republic,36.210875
Chad,38.35600000000001
Chile,19.877375
China,19.295
Christmas Island,37.01075
Colombia,35.5795
Comoros,36.542874999999995
Congo (Democratic Republic Of The),34.56037500000001
Congo,35.139375
Costa Rica,36.45755555555556
Croatia,23.589
Cuba,36.25044444444445
Curaçao,38.1205
Cyprus,30.349875
Czech Republic,19.281
Denmark (Europe),18.516375
Denmark,-4.927249999999999
Djibouti,40.744749999999996
Dominica,36.922125
Dominican Republic,36.290333333333336
Ecuador,32.264125
Egypt,34.505250000000004
El Salvador,35.91077777777778
Equatorial Guinea,35.5905
Eritrea,38.5035
Estonia,16.96175
Ethiopia,34.6315
Europe,19.67025
Falkland Islands (Islas Malvinas),17.346
Faroe Islands,17.076625
Federated States Of Micronesia,37.99725
Fiji,35.941374999999994
Finland,14.064125
France (Europe),21.19575
France,23.584625000000003
French Guiana,36.528875
French Polynesia,36.907875000000004
French Southern And Antarctic Lands,15.6855
Gabon,34.8385
Gambia,38.72437500000001
Gaza Strip,30.78225
Georgia,20.686625
Germany,19.23525
Ghana,37.7175
Greece,27.1535
Greenland,-5.409750000000004
Grenada,37.612875
Guadeloupe,37.15675
Guam,37.658875
Guatemala,34.291333333333334
Guernsey,20.803624999999997
Guinea Bissau,37.90675
Guinea,36.68675
Guyana,36.6875
Haiti,37.031555555555556
Heard Island And Mcdonald Islands,13.19375
Honduras,35.73233333333333
Hong Kong,33.690375
Hungary,22.3015
Iceland,12.92025
